Employer,Registration_Date,Client_Current_Age,Parent_on_Enrolment,Gender,Ethnic_Origin,Has_Disability,Disability_details,Religion,Sexuality,Highest_Level_of_Education,Claiming_Benefits,Benefits,WARD_NAME
No Outcome,25-04-2019,27,Yes,Female,(A) White - Any other White background,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),Finsbury Park
No Outcome,11-03-2019,19,No,Male,(B) Mixed - Any other Mixed background,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Finsbury Park
No Outcome,20-03-2021,29,Blanks,Male,(E) Other Ethnic Group - Arab,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,02-09-2019,33,No,Male,(A) White - Any other White background,No,NULL,Muslim,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Finsbury Park
No Outcome,10-06-2020,32,Yes,Female,(D) Black or Black British - Other African,No,NULL,Christian,Heterosexual,ISCED Level 5 (Short cycle tertiary education),Yes,Other benefit,Finsbury Park
No Outcome,02-06-2021,41,Blanks,Female,(A) White - Any other White background,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,10-03-2021,61,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Highbury West
No Outcome,08-05-2021,39,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Highbury West
No Outcome,13-11-2020,61,Yes,Male,(D) Black or Black British - Caribbean,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),Blanks,Job seekers allowance (JSA),Finsbury Park
No Outcome,09-09-2019,50,Yes,Female,(D) Black or Black British - Other African,No,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),No,Other benefit,Finsbury Park
No Outcome,08-03-2021,50,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Finsbury Park
No Outcome,25-02-2021,53,Blanks,Female,(C) Asian or Asian British - Pakistani,Blanks,NULL,Buddhist,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,07-12-2020,36,No,Male,(A) White - Any other White background,Blanks,NULL,No religion / atheist,Gay / lesbian,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Finsbury Park
No Outcome,01-03-2021,38,Blanks,Female,(E) Other Ethnic Group - Latin American,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,09-06-2021,39,Blanks,Female,(D) Black or Black British - Nigerian,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,24-06-2021,36,Blanks,Female,(A) White - Irish,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,10-05-2021,50,No,Female,(A) White - Any other White background,No,NULL,Blanks,Blanks,ISCED Level 6 (Bachelor's or equivalent level),Yes,Other benefit,Highbury West
No Outcome,11-06-2021,32,Blanks,Female,(E) Other Ethnic Group - Latin American,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Highbury West
No Outcome,17-04-2020,32,Yes,Male,(A) White - Any other White background,No,NULL,Christian,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,St George's
No Outcome,06-01-2021,42,Yes,Male,(E) Other Ethnic Groups - Latin American,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),St George's
No Outcome,18-07-2019,61,No,Male,(D) Black or Black British - Nigerian,Yes,NULL,Christian,Heterosexual,ISCED Level 5 (Short cycle tertiary education),Yes,Universal credit (UC),St George's
Lbi ,25-02-2019,58,No,Female,(A) White - Any other White background,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Finsbury Park
No Outcome,03-09-2018,55,No,Female,(A) White - Greek/ Greek Cypriot,No,NULL,Muslim,No response to sexuality,ISCED Level 1 (Primary education),Yes,Job seekers allowance (JSA),Finsbury Park
No Outcome,23-04-2018,57,No,Male,(A) White - British,Yes,NULL,Christian,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),Blanks,"Employment support allowance (ESA), Housing Benefit, Months on benefits",Finsbury Park
No Outcome,14-10-2020,44,Yes,Female,(A) White - Any other White background,No,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Finsbury Park
No Outcome,19-03-2021,43,Blanks,Female,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,17-03-2021,24,Blanks,Male,(A) White - British,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
Aldi Archway,17-09-2018,24,No,Male,(A) White - British,No,NULL,Christian,Heterosexual,ISCED Level 0 (Early childhood education),Yes,Universal credit (UC),Finsbury Park
No Outcome,24-08-2021,47,Blanks,Female,(B) Mixed - Any other Mixed background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,18-09-2018,41,Yes,Female,(D) Black or Black British - Somali,No,NULL,Muslim,Heterosexual,ISCED Level 1 (Primary education),Blanks,Other benefit,Finsbury Park
No Outcome,17-05-2021,35,Blanks,Female,(A) White - Greek/ Greek Cypriot,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,09-07-2019,55,No,Female,(A) White - Any other White background,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Finsbury Park
No Outcome,21-04-2021,30,Blanks,Male,(C) Asian or Asian British - Pakistani,Blanks,NULL,Muslim,Prefer not to say sexuality,Blanks,Blanks,NULL,Finsbury Park
No Outcome,02-03-2020,22,No,Male,(D) Black or Black British - Nigerian,No,NULL,Prefer not to say religion,No response to sexuality,Blanks,No,Not in receipt of benefits,Finsbury Park
No Outcome,21-05-2021,33,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,30-10-2019,30,Yes,Female,(D) Black or Black British - Other African,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,"Income support (IS), Carers allowance",Finsbury Park
No Outcome,02-06-2021,20,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,No religion / atheist,Prefer not to say sexuality,Blanks,Blanks,NULL,Hillrise
No Outcome,30-05-2019,50,No,Male,(A) White - Turkish/ Turkish Cypriot,No,NULL,Prefer not to say religion,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Job seekers allowance (JSA),Hillrise
No Outcome,26-06-2021,32,Blanks,Prefer not to say,(E) Other Ethnic Groups - Prefer not to say,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Hillrise
No Outcome,14-05-2021,33,No,Male,(D) Black or Black British - Caribbean,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Hillrise
No Outcome,29-03-2021,63,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,23-08-2021,22,Blanks,Male,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,14-07-2021,61,Blanks,Male,(B) Mixed - Any other Mixed background,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Hillrise
No Outcome,18-05-2021,50,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Gay / lesbian,Blanks,Blanks,NULL,Hillrise
No Outcome,13-08-2019,44,No,Male,(E) Other Ethnic Groups - Prefer not to say,No,NULL,Prefer not to say religion,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Hillrise
No Outcome,11-04-2021,33,Blanks,Female,(B) Mixed - White and Black Caribbean,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,29-10-2020,46,Yes,Male,(A) White - British,Yes,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Hillrise
No Outcome,15-07-2021,21,Blanks,Female,(A) White - British,Blanks,NULL,Other religion,Heterosexual,Blanks,Blanks,NULL,Junction
No Outcome,20-05-2019,21,No,Male,(A) White - British,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Hillrise
No Outcome,17-03-2021,21,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Hillrise
Isledon Arts Lift,23-07-2018,22,No,Female,(A) White - British,No,NULL,Prefer not to say religion,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Hillrise
No Outcome,10-03-2021,46,Blanks,Female,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,26-07-2021,29,Blanks,Male,(A) White - Any other White background,Blanks,NULL,No religion / atheist,Prefer not to say sexuality,Blanks,Blanks,NULL,Hillrise
No Outcome,21-05-2021,20,No,Male,(A) White - British,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Hillrise
No Outcome,03-06-2021,55,Blanks,Female,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,03-03-2021,32,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Tollington
No Outcome,10-05-2019,39,Yes,Female,(B) Mixed - Any other Mixed background,Yes,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Disability living allowance (DLA),Tollington
No Outcome,21-07-2021,37,Blanks,Male,(A) White - Any other White background,Blanks,NULL,No religion / atheist,Gay / lesbian,Blanks,Blanks,NULL,Tollington
No Outcome,03-03-2021,41,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Tollington
No Outcome,13-03-2021,34,Blanks,Female,(C) Asian or Asian British - Chinese,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Tollington
No Outcome,20-09-2019,34,No,Male,(B) Mixed - White and Asian,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Tollington
No Outcome,20-10-2020,44,Yes,Female,(B) Mixed - White and Asian,Yes,NULL,Christian,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),Tollington
No Outcome,16-01-2018,58,Yes,Male,(A) White - Any other White background,Blanks,NULL,Muslim,Heterosexual,ISCED Level 0 (Early childhood education),Blanks,"Income support (IS), Months on benefits",Tollington
Whybuy,13-01-2021,23,No,Female,(A) White - Any other White background,No,NULL,No religion / atheist,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Tollington
No Outcome,30-10-2020,63,No,Male,(C) Asian or Asian British - Any other Asian background,No,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,"Job seekers allowance (JSA), Universal credit (UC), Months on benefits",Stroud Green
No Outcome,23-12-2020,22,Blanks,Male,(D) Black or Black British - Somali,Blanks,NULL,Blanks,Blanks,Blanks,Blanks,NULL,Finsbury Park
No Outcome,19-06-2021,34,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Bisexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,19-06-2021,29,Blanks,Prefer not to say,(A) White - Irish,Blanks,NULL,No religion / atheist,Other sexuality,Blanks,Blanks,NULL,Finsbury Park
Union Chapel Creative Leadership Programme,06-08-2019,36,Yes,Female,(D) Black or Black British - Other African,No,NULL,Muslim,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Job seekers allowance (JSA),Finsbury Park
No Outcome,13-01-2021,24,Blanks,Male,(D) Black or Black British - Somali,Blanks,NULL,Blanks,Blanks,Blanks,Blanks,NULL,Finsbury Park
No Outcome,22-01-2021,35,No,Female,(A) White - Any other White background,No,NULL,No religion / atheist,Heterosexual,ISCED Level 7 (Master's or equivalent level),No,Not in receipt of benefits,NULL
No Outcome,15-07-2021,16,Blanks,Female,(D) Black or Black British - Eritrean,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Tollington
No Outcome,20-06-2019,50,No,Female,(A) White - Any other White background,Prefer not to say,NULL,No religion / atheist,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Tollington
No Outcome,07-09-2021,58,Blanks,Male,(D) Black or Black British - Caribbean,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Highbury West
No Outcome,13-07-2020,61,Yes,Male,(A) White - Any other White background,Yes,NULL,Jewish,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Job seekers allowance (JSA),Highbury West
No Outcome,07-10-2020,33,Yes,Female,(D) Black or Black British - Any other Black background,No,NULL,Christian,Heterosexual,ISCED Level 5 (Short cycle tertiary education),No,Not in receipt of benefits,Highbury West
No Outcome,07-09-2021,29,Blanks,Male,(E) Other Ethnic Group - Arab,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,31-05-2018,45,No,Male,(A) White - Greek/ Greek Cypriot,No,NULL,Christian,Heterosexual,ISCED Level 1 (Primary education),Blanks,"Employment support allowance (ESA), Other benefit, Months on benefits",Finsbury Park
No Outcome,28-02-2019,41,No,Female,(B) Mixed - Any other Mixed background,No,NULL,Other religion,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Finsbury Park
Concept Care Solutions,04-02-2021,43,No,Female,(C) Asian or Asian British - Any other Asian background,No,NULL,No religion / atheist,Heterosexual,ISCED Level 7 (Master's or equivalent level),Yes,Universal credit (UC),Finsbury Park
No Outcome,10-03-2020,24,Yes,Female,(E) Other Ethnic Groups - Latin American,No,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,No,Not in receipt of benefits,Finsbury Park
No Outcome,13-07-2020,24,Yes,Female,(E) Other Ethnic Groups - Latin American,No,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Finsbury Park
No Outcome,21-01-2020,23,No,Female,(B) Mixed - White and Black African,No,NULL,Muslim,Blanks,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),Finsbury Park
No Outcome,05-03-2021,19,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,07-07-2021,37,Blanks,Male,(C) Asian or Asian British - Indian,Blanks,NULL,Prefer not to say religion,Gay / lesbian,Blanks,Blanks,NULL,Highbury West
No Outcome,11-04-2018,50,Blanks,Male,(D) Black or Black British - Any other Black background,Blanks,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Blanks,"Employment support allowance (ESA), Housing Benefit, Months on benefits",Finsbury Park
No Outcome,06-06-2021,44,Blanks,Male,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,24-08-2021,26,No,Male,(E) Other Ethnic Groups - Any other background,No,NULL,Muslim,Heterosexual,ISCED Level 7 (Master's or equivalent level),Yes,Universal credit (UC),Finsbury Park
No Outcome,09-03-2021,47,Blanks,Male,(B) Mixed - Any other Mixed background,Blanks,NULL,Other religion,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,21-05-2019,56,No,Male,(A) White - British,Prefer not to say,NULL,Prefer not to say religion,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Finsbury Park
Great Ormond Street Hospital,14-01-2021,55,No,Male,(A) White - Any other White background,Yes,NULL,No religion / atheist,No response to sexuality,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Finsbury Park
No Outcome,14-06-2021,37,Blanks,Female,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,09-09-2019,40,No,Female,(E) Other Ethnic Groups - Latin American,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Hillrise
No Outcome,24-03-2021,18,Blanks,Female,(E) Other Ethnic Group - Latin American,Blanks,NULL,Christian,Bisexual,Blanks,Blanks,NULL,Hillrise
No Outcome,24-03-2021,40,Blanks,Female,(E) Other Ethnic Group - Latin American,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,18-08-2020,43,Yes,Male,(A) White - Any other White background,No,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Other benefit,Hillrise
No Outcome,23-06-2021,49,Blanks,Male,(C) Asian or Asian British - Indian,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,09-11-2020,34,Yes,Female,(D) Black or Black British - Other African,No,NULL,Christian,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Hillrise
No Outcome,25-09-2020,36,No,Female,(A) White - Kurdish,Yes,NULL,Blanks,Blanks,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Hillrise
No Outcome,10-12-2019,63,Yes,Male,(A) White - British,No,NULL,Christian,Heterosexual,ISCED Level 1 (Primary education),Yes,Universal credit (UC),Hillrise
No Outcome,04-10-2018,49,No,Male,(D) Black or Black British - Any other Black background,Yes,NULL,Prefer not to say religion,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),Yes,Job seekers allowance (JSA),Hillrise
